seed,n_ind,n_cells_controls,n_cells_controls_i,method,type_1_err,MCC
400,20,103,141,MAST,0.276938078985861,0.349136298432908
400,20,103,141,MAST_RE,0.0419307654802535,0.61398190344851
400,20,103,141,MAST_Combat,0.699207135777998,-0.0588915490313099
400,20,103,141,GLM_tweedie,0.0576271186440678,0.87076832279782
400,20,103,141,GLMM_tweedie,0.026634382566586,0.898707259133015
400,20,103,141,GEE1,0.0610169491525424,0.872521710492606
400,20,103,141,Pseudobulk_mean,0.0256658595641647,0.933796538973307
400,20,103,141,Pseudobulk_sum,0.946731234866828,0.110807816214602
400,20,103,141,Monocle,0.195157384987893,0.821077430543978
400,20,103,141,ROTS,0.240677966101695,0.75643856137281
3246,20,106,120,MAST,0.277310924369748,0.36543828477433
3246,20,106,120,MAST_RE,0.0528917449332674,0.611888974179841
3246,20,106,120,MAST_Combat,0.707329317269076,-0.0268455314313593
3246,20,106,120,GLM_tweedie,0.0593137254901961,0.854603542081029
3246,20,106,120,GLMM_tweedie,0.0308823529411765,0.877565923470505
3246,20,106,120,GEE1,0.0647058823529412,0.852020340903854
3246,20,106,120,Pseudobulk_mean,0.0284313725490196,0.91926660254235
3246,20,106,120,Pseudobulk_sum,0.349509803921569,0.652837673410278
3246,20,106,120,Monocle,0.185294117647059,0.832816475119627
3246,20,106,120,ROTS,0.229411764705882,0.751393404103813
8492,20,107,111,MAST,0.306410903584048,0.33747901694467
8492,20,107,111,MAST_RE,0.0439172135285209,0.625019069674684
8492,20,107,111,MAST_Combat,0.693490517683239,-0.00719317602714821
8492,20,107,111,GLM_tweedie,0.0589116325511732,0.867746701333463
8492,20,107,111,GLMM_tweedie,0.0284573140289566,0.895323158278426
8492,20,107,111,GEE1,0.0634048926610085,0.863903857546053
8492,20,107,111,Pseudobulk_mean,0.0229655516724913,0.928965368304859
8492,20,107,111,Pseudobulk_sum,0.0604093859211183,0.897715162227015
8492,20,107,111,Monocle,0.197703444832751,0.821024886975498
8492,20,107,111,ROTS,0.248627059410884,0.747945786882419
8620,20,108,204,MAST,0.34453781512605,0.246074780725004
8620,20,108,204,MAST_RE,0.0484429065743945,0.575217685394322
8620,20,108,204,MAST_Combat,0.73728813559322,-0.175107962220393
8620,20,108,204,GLM_tweedie,0.073782587309395,0.859874476875085
8620,20,108,204,GLMM_tweedie,0.0319724545007378,0.896751360482509
8620,20,108,204,GEE1,0.059517953762912,0.87648295329685
8620,20,108,204,Pseudobulk_mean,0.0255779636005903,0.929977910603591
8620,20,108,204,Pseudobulk_sum,0.999508116084604,-0.121271519334117
8620,20,108,204,Monocle,0.208066896212494,0.811476171562634
8620,20,108,204,ROTS,0.272995573044761,0.732796245040411
4140,20,109,216,MAST,0.350920856147337,0.262108863207485
4140,20,109,216,MAST_RE,0.0537580886012942,0.586234518118469
4140,20,109,216,MAST_Combat,0.733433734939759,-0.137128669542537
4140,20,109,216,GLM_tweedie,0.0746785361028685,0.861007735241041
4140,20,109,216,GLMM_tweedie,0.0341246290801187,0.89614507357634
4140,20,109,216,GEE1,0.0687438180019782,0.869450249199521
4140,20,109,216,Pseudobulk_mean,0.02324431256182,0.936612689906688
4140,20,109,216,Pseudobulk_sum,0.999010880316518,-0.120700008464415
4140,20,109,216,Monocle,0.255192878338279,0.7754111230698
4140,20,109,216,ROTS,0.297725024727992,0.713048849157264
2232,20,118,291,MAST,0.366351418616227,0.226703171695212
2232,20,118,291,MAST_RE,0.0542558486809358,0.576402117129534
2232,20,118,291,MAST_Combat,0.725855130784708,-0.16743749332702
2232,20,118,291,GLM_tweedie,0.0803747534516765,0.849016549634786
2232,20,118,291,GLMM_tweedie,0.0325443786982249,0.890423445528545
2232,20,118,291,GEE1,0.0650887573964497,0.864254058882574
2232,20,118,291,Pseudobulk_mean,0.022189349112426,0.929238603952668
2232,20,118,291,Pseudobulk_sum,1,-0.145333064835283
2232,20,118,291,Monocle,0.240138067061144,0.785941523985929
2232,20,118,291,ROTS,0.290927021696252,0.721407925746606
3010,20,120,104,MAST,0.288471053933696,0.364466507378792
3010,20,120,104,MAST_RE,0.0544285007422068,0.61941462709952
3010,20,120,104,MAST_Combat,0.679,0.0106316523628039
3010,20,120,104,GLM_tweedie,0.0714635340186001,0.84769973890075
3010,20,120,104,GLMM_tweedie,0.0327949094468918,0.881386900086843
3010,20,120,104,GEE1,0.0690161527165932,0.855078109550195
3010,20,120,104,Pseudobulk_mean,0.0249632892804699,0.935092112115682
3010,20,120,104,Pseudobulk_sum,0.565834557023984,0.490319550091768
3010,20,120,104,Monocle,0.188937836514929,0.828188963951268
3010,20,120,104,ROTS,0.241801272638277,0.755118298697845
2381,20,120,301,MAST,0.357609241587142,0.258530266106496
2381,20,120,301,MAST_RE,0.0502260170768458,0.592110108447376
2381,20,120,301,MAST_Combat,0.740010116337886,-0.150695710943063
2381,20,120,301,GLM_tweedie,0.0732801595214357,0.864432018314018
2381,20,120,301,GLMM_tweedie,0.0259222333000997,0.90469862030674
2381,20,120,301,GEE1,0.0503489531405783,0.887698829126404
2381,20,120,301,Pseudobulk_mean,0.0214356929212363,0.937018712684358
2381,20,120,301,Pseudobulk_sum,1,-0.142220646728049
2381,20,120,301,Monocle,0.239282153539382,0.78856981293338
2381,20,120,301,ROTS,0.295114656031904,0.717185935926875
5720,20,133,260,MAST,0.356191415885545,0.239050966294933
5720,20,133,260,MAST_RE,0.0508140108534781,0.576212781954244
5720,20,133,260,MAST_Combat,0.73038728897716,-0.150452964595116
5720,20,133,260,GLM_tweedie,0.0705190989226249,0.863332737779111
5720,20,133,260,GLMM_tweedie,0.0298726738491675,0.900062884776465
5720,20,133,260,GEE1,0.0582761998041136,0.875211276367319
5720,20,133,260,Pseudobulk_mean,0.0230166503428012,0.933148579784624
5720,20,133,260,Pseudobulk_sum,0.99951028403526,-0.120069588629061
5720,20,133,260,Monocle,0.246327130264447,0.779958420392196
5720,20,133,260,ROTS,0.297747306562194,0.714845946849389
9272,20,146,84,MAST,0.288899900891972,0.361957727774903
9272,20,146,84,MAST_RE,0.0574826560951437,0.616307886829455
9272,20,146,84,MAST_Combat,0.692846423211606,0.0205295139280873
9272,20,146,84,GLM_tweedie,0.0603236880823933,0.860435852429746
9272,20,146,84,GLMM_tweedie,0.0279548798430603,0.891572998676547
9272,20,146,84,GEE1,0.0598332515939186,0.872536684105332
9272,20,146,84,Pseudobulk_mean,0.0372731731240804,0.924134732636283
9272,20,146,84,Pseudobulk_sum,0.995586071603727,-0.0909284628843856
9272,20,146,84,Monocle,0.19960765080922,0.817416367041997
9272,20,146,84,ROTS,0.245218244237371,0.747749899179482
869,20,148,287,MAST,0.405155642023346,0.203199082745509
869,20,148,287,MAST_RE,0.0544482255712202,0.583443886248824
869,20,148,287,MAST_Combat,0.756876227897839,-0.181708487262896
869,20,148,287,GLM_tweedie,0.0830917874396135,0.862650877718652
869,20,148,287,GLMM_tweedie,0.0357487922705314,0.904436716197452
869,20,148,287,GEE1,0.0623188405797102,0.881174340014877
869,20,148,287,Pseudobulk_mean,0.0193236714975845,0.94155093317782
869,20,148,287,Pseudobulk_sum,1,-0.105626171083167
869,20,148,287,Monocle,0.272463768115942,0.760778862380204
869,20,148,287,ROTS,0.326086956521739,0.699181694008694
9014,20,150,300,MAST,0.396290873596877,0.19904448976797
9014,20,150,300,MAST_RE,0.0522205954123963,0.57457083611882
9014,20,150,300,MAST_Combat,0.774225282833251,-0.216933190473594
9014,20,150,300,GLM_tweedie,0.0920542635658915,0.839223429091194
9014,20,150,300,GLMM_tweedie,0.0348837209302326,0.888486583378362
9014,20,150,300,GEE1,0.061046511627907,0.86628781018571
9014,20,150,300,Pseudobulk_mean,0.0208333333333333,0.926753927764256
9014,20,150,300,Pseudobulk_sum,1,-0.118337782386558
9014,20,150,300,Monocle,0.283914728682171,0.749950023727714
9014,20,150,300,ROTS,0.33672480620155,0.679955145551107
2354,20,155,93,MAST,0.308073303615651,0.361843212069967
2354,20,155,93,MAST_RE,0.053987122337791,0.635764267497674
2354,20,155,93,MAST_Combat,0.671664167916042,0.0294635833137213
2354,20,155,93,GLM_tweedie,0.0681372549019608,0.852183045929253
2354,20,155,93,GLMM_tweedie,0.0313725490196078,0.886007161764353
2354,20,155,93,GEE1,0.0720588235294118,0.859947066563675
2354,20,155,93,Pseudobulk_mean,0.0259803921568627,0.932978261076049
2354,20,155,93,Pseudobulk_sum,0.995588235294118,-0.102364618082323
2354,20,155,93,Monocle,0.216666666666667,0.802703097283742
2354,20,155,93,ROTS,0.27156862745098,0.711120439885916
3511,20,161,231,MAST,0.383422200678623,0.248347624614913
3511,20,161,231,MAST_RE,0.0533204071740184,0.604339927641719
3511,20,161,231,MAST_Combat,0.740559097596861,-0.0718709513289194
3511,20,161,231,GLM_tweedie,0.088985088985089,0.854125771045386
3511,20,161,231,GLMM_tweedie,0.038961038961039,0.900797663871562
3511,20,161,231,GEE1,0.0683020683020683,0.875654529809772
3511,20,161,231,Pseudobulk_mean,0.0235690235690236,0.934413265104942
3511,20,161,231,Pseudobulk_sum,0.984607984607985,-0.0242661903397614
3511,20,161,231,Monocle,0.260702260702261,0.769762677972828
3511,20,161,231,ROTS,0.326118326118326,0.689918873307277
8717,20,164,254,MAST,0.395157384987894,0.22896902761421
8717,20,164,254,MAST_RE,0.050363196125908,0.60191981100946
8717,20,164,254,MAST_Combat,0.771723122238586,-0.139896842058537
8717,20,164,254,GLM_tweedie,0.0934355534259703,0.85450342287425
8717,20,164,254,GLMM_tweedie,0.0397700047915668,0.902464655999342
8717,20,164,254,GEE1,0.0661236224245328,0.881875640209639
8717,20,164,254,Pseudobulk_mean,0.0287494010541447,0.930914999506861
8717,20,164,254,Pseudobulk_sum,0.998083373263057,-0.0925138968685904
8717,20,164,254,Monocle,0.275515093435553,0.758594087310727
8717,20,164,254,ROTS,0.332534738859607,0.689682106193078
8666,20,169,120,MAST,0.338228095937347,0.316129786676183
8666,20,169,120,MAST_RE,0.0494371023005384,0.62939896643187
